15/06/2023
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
500002	ABB India Limited	2119.08375
500003	Aegis Logistics Ltd.	3510.00000
500008	Amara Raja Batteries Ltd	1708.12500
500009	Ambalal Sarabhai Enterprise Lt	766.33296
500010	Housing Development Finance Co	18463.54747
500012	Andhra Petrochemicals Ltd.	849.71600
500013	Ansal Properties & Infrastruct	1574.02276
500014	UTIQUE ENTERPRISES LIMITED	556.73122
500016	Aruna Hotels Ltd.	339.00000
500020	Bombay Dyeing & Mfg. Co. Ltd.	2065.34900
500023	Asian Hotels (North) Limited	194.53229
500027	Atul Limited.	295.13755
500028	ATV Projects India Ltd	531.17425
500029	Autolite (India) Ltd.	111.81241
500030	Autoriders Finance Ltd.	131.07000
500031	Bajaj Electricals Ltd.	1150.75638
500032	Bajaj Hindusthan Sugar Limited	12773.59942
500033	Force Motors Limited	130.32914
500034	Bajaj Finance Limited	6059.18538
500038	Balrampur Chini Mills Ltd.	2017.49245
500039	Banco Products (India) Ltd.	715.18650
500040	Century Textiles & Industries	1116.95680
500041	Bannari Amman Sugars Ltd.	125.39700
500042	BASF India Ltd	432.85640
500043	Bata India Limited	1285.27540
500048	BEML Ltd	416.44500
500049	Bharat Electronics Ltd.	73097.78829
500052	Bhansali Engineering Polymers	1659.05640
500058	Bihar Sponge Iron Ltd	902.05403
500059	Binani Industries Limited	313.66175
500060	Birla Cable Limited	300.00000
500067	Blue Star Ltd	963.13888
500068	Disa India Ltd.	14.54205
500069	QUEST CAPITAL MARKETS LIMITED	100.00000
500074	BPL Ltd.	489.75751
500078	ORIENTAL AROMATICS LIMITED	336.53576
500083	Century Extrusions Ltd.	800.00000
500084	CESC Limited	13255.70430
500085	Chambal Fertilisers & Chemical	4162.06072
500086	Exide Industries Ltd.	8500.00000
500087	Cipla Ltd.	8072.24436
500089	DIC India Ltd	91.78977
500092	CRISIL Ltd.	730.95989
500093	CG Power and Industrial Soluti	15271.99194
500096	Dabur India Ltd.	17720.34671
500097	Dalmia Bharat Sugar and Indust	809.39303
500101	Arvind Ltd.	2614.97474
500102	Ballarpur Industries Ltd.	12934.55756
500103	Bharat Heavy Electricals Ltd.	34820.63355
500104	Hindustan Petroleum Corporatio	14185.48345
500106	IFCI Ltd.	24896.13863
500108	Mahanagar Telephone Nigam Ltd.	6300.00000
500109	Mangalore Refinery & Petrochem	17525.98777
500110	Chennai Petroleum Corporation	1489.11400
