NSE_Symbol,Company_Name,ISIN,BSE_Script_Code,BSE_Symbol,YQ_Symbol
,TYPHOON,0,512307.0,TYPHOON,512307.BO
,MEENST,0,512505.0,MEENST,512505.BO
,DATARSW-B,0,517516.0,DATARSW-B,517516.BO
,ADSDIAG,0,523031.0,ADSDIAG,523031.BO
,FABWRT,0,700049.0,FABWRT,700049.BO
,GS02JAN26C,IN000126C010,800354.0,GS02JAN26C,800354.BO
,GS02JAN27C,IN000127C018,800359.0,GS02JAN27C,800359.BO
,GS02JAN28C,IN000128C016,800363.0,GS02JAN28C,800363.BO
,GS02JAN29C,IN000129C014,800426.0,GS02JAN29C,800426.BO
,GS02JAN36C,IN000136C019,800380.0,GS02JAN36C,800380.BO
,GS02JAN39C,IN000139C013,800417.0,GS02JAN39C,800417.BO
,GS22FEB27C,IN000227C024,800397.0,GS22FEB27C,800397.BO
,GS22FEB28C,IN000228C022,800411.0,GS22FEB28C,800411.BO
,GS22FEB29C,IN000229C020,800427.0,GS22FEB29C,800427.BO
,GS22FEB30C,IN000230C028,800379.0,GS22FEB30C,800379.BO
,GS22FEB31C,IN000231C026,800394.0,GS22FEB31C,800394.BO
,GS22FEB32C,IN000232C024,800405.0,GS22FEB32C,800405.BO
,GS22FEB34C,IN000234C020,800415.0,GS22FEB34C,800415.BO
,GS22FEB41C,IN000241C017,800384.0,GS22FEB41C,800384.BO
,GS19MAR24,IN000324C045,800491.0,GS19MAR24,800491.BO
,GS19MAR2025,IN000325C042,800493.0,GS19MAR2025,800493.BO
,GS12MAR2025,IN000325C059,800518.0,GS12MAR2025,800518.BO
,GS19MAR2026,IN000326C040,800495.0,GS19MAR2026,800495.BO
,GS19MAR2027,IN000327C048,800497.0,GS19MAR2027,800497.BO
,GS19MAR2028,IN000328C046,800499.0,GS19MAR2028,800499.BO
,GS19MAR2029,IN000329C044,800501.0,GS19MAR2029,800501.BO
,GS19MAR2030,IN000330C042,800503.0,GS19MAR2030,800503.BO
