Company_Name,Symbol_BSE,Symbol_NSE,BSE_Code,ISIN
TYPHOON HOLDINGS LTD.,TYPHOON,,512307.0,0
MEENAKSHI STEEL INDUSTRIES LTD,MEENST,,512505.0,0
DATAR SWITCHGEAR LTD.,DATARSW-B,,517516.0,0
ADS DIAGNOSTIC LTD.,ADSDIAG,,523031.0,0
FABWRTH IND,FABWRT,,700049.0,0
Reliance Industries Ltd,RELIANCEPP,,890147.0,IN9002A01032
SUZLON ENERGY LTD.,SUZLONPP,,890176.0,IN9040H01011
Gautam Gems Limited,GGLPP,,890175.0,IN9063Z01015
TATA STEEL LIMITED,TATASTEELPP,,890144.0,IN9081A01010
Kesoram Industries Ltd,KILPP,,890156.0,IN9087A01017
Aarti Surfactants Limited,AARTIPP,,890180.0,IN909EO01012
ARCHANA S PP,ARSPP,,890047.0,IN9149B01013
TATA MOTORS LTD - DVR,TATAMTRDVR,,570001.0,IN9155A01020
VIKAS LIFECARE LIMITED,VLIFEPP,,890160.0,IN9161L01017
Jain Irrigation Systems Limited,JISLDVREQS,JISLDVREQS,570004.0,IN9175A01010
Dynemic Products Ltd.,DYNPROPP,,890169.0,IN9256H01013
Dhani Services Limited,DHANIPP,,890145.0,IN9274G01034
RPP INFRA PROJECTS LIMITED,RPPINFRPP,,890158.0,IN9324L01011
Rungta Irrigation Ltd.,RUNGTAPP,,890178.0,IN9347C01029
Coastal Corporation Limited,COASTPP,,890174.0,IN9377E01022
Bharti Airtel  Ltd.,AIRTELPP,,890157.0,IN9397D01014
Shree Ganesh Remedies Limited,SGRLPP,,890181.0,IN9414Y01013
Hatsun Agro Products Ltd.,HATSUNPP,,890146.0,IN9473B01017
Patel Integrated Logistics Ltd,PATINTPP,,890159.0,IN9529D01012
Urja Global Limited,URJAPP,,890152.0,IN9550C01028
Hazoor Multi Projects Limited,HAZOORPP,,890182.0,IN9550F01013
Shukra Pharmaceuticals Limited,SHUKRAPP,,890183.0,IN9551C01026
Vidli Restaurants Limited,VIDLIPP,,890163.0,IN9564S01017
Rushil Decor Limited,RUSHILPP,,890150.0,IN9573K01023
Future Enterprises Limited,FELDVR,FELDVR,570002.0,IN9623B01058
Aditya Birla Fashion and Retai,ABFRLPP,,890148.0,IN9647O01027
Transwarranty Finance Limited,TFLPP,,890177.0,IN9804H01010
Adcon Capital Services Limited,ADCONPP,,890179.0,IN9805Q01018
Vikas EcoTech Limited,VECOPP,,890162.0,IN9806A01010
Mold-Tek Packaging Limited,MOLDTEKPP,,890151.0,IN9893J01019
Aurum PropTech Limited,AURUMPP,,890168.0,IN9898S01019
WARDWIZARD INNOVATIONS AND MOB,WARDWIZPP,,890164.0,IN9945P01014
Arvind Fashions Limited,AFLPP,,890153.0,IN9955V01011
SPARC ELECTREX LIMITED,SPARCPP,,890184.0,IN9960B01013
HOUSING DEVELOPMENT FINANCE CO,HDFC,,500010.0,INE001A01036
Housing Development Finance Co,HDFCW3,,961912.0,INE001A13049
KRBL Limited,KRBL,KRBL,530813.0,INE001B01026
Premco Global Limited,PREMCO,PREMCO,530331.0,INE001E01012
MODERN STEELS LTD.,MDRNSTL,,513303.0,INE001F01019
RISA INTERNATIONAL LTD.,RISAINTL,,530251.0,INE001O01029
Reliance Industries Limited,RELIANCE,RELIANCE,500325.0,INE002A01018
Reliance Industries Ltd,RELIANCELR,,750634.0,INE002A20018
SOFTSOL INDIA LTD.,SOFTSOL,,532344.0,INE002B01016
Sar  Auto Products Limited,SAPL,,538992.0,INE002E01010
SJVN Limited,SJVN,SJVN,533206.0,INE002L01015
Mahanagar Gas Limited,MGL,MGL,539957.0,INE002S01010
Siemens Limited,SIEMENS,SIEMENS,500550.0,INE003A01024
INTER STATE OIL CARRIER LTD.,INTSTOIL,,530259.0,INE003B01014
SARANG CHEMICALS LTD.,SARCHEM,,532031.0,INE003E01026
MULLER & PHIPPS (INDIA) LTD.,MULLER,,501477.0,INE003F01015
GBL Industries Limited,GBLIL,,539009.0,INE003Q01012
Protean eGov Technologies Limited,,PROTEAN,,INE004A01022
SRIVEN MULTI-TECH LTD.,SRIMT,,531536.0,INE004B01012
GUJARAT COTEX LTD.,GUJCOTEX,,514386.0,INE004C01028
Span Divergent Limited,SDL,,524727.0,INE004E01016
ABHISHEK CORPORATION LTD.,ABHISHEK,,532831.0,INE004I01017
Mac Hotels Limited,MACH,,541973.0,INE004Z01011
AVANTEL LTD.,AVANTEL,,532406.0,INE005B01019
Avantel Limited,,AVANTEL,,INE005B01027
RTS POWER CORPORATION LTD.,RTSPOWR,,531215.0,INE005C01017
Ekansh Concepts Limited,EKANSH,,531364.0,INE005E01013
Deep Diamond India Limited,DDIL,,539559.0,INE005G01026
AMD Industries Limited,AMDIND,AMDIND,532828.0,INE005I01014
K.Z.LEASING & FINANCE LTD.,KZLFIN,,511728.0,INE006C01015
NB FOOTWEAR LTD.,NBFOOT,,523242.0,INE006F01018
Astral Limited,ASTRAL,ASTRAL,532830.0,INE006I01046
Arvee Laboratories (India) Limited,,ARVEE,,INE006Z01016
Crisil Limited,CRISIL,CRISIL,500092.0,INE007A01025
